Verband,Regionalverband,Verein,Amtssprache,Besetzung
Solothurner Blasmusikverband,,Musikgesellschaft Hägendorf-Rickenbach,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Konkordia Balsthal,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Lohn-Ammannsegg,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Nuglar-St. Pantaleon,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Bärschwil,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Beinwil,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Boningen,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Büren,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Däniken,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Deitingen,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Derendingen,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Dulliken,DE,H
Solothurner Blasmusikverband,,Brass Band Erschwil,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Etziken,DE,F/B
